dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0006551738258056591,0.00032656320380000913,0.0013107017087167366,0.0009841385049167274,0.95,1000,20262305,24421,24421
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5116927139047024,0.5059423143697481,0.5168318312516724,0.0108895168819243,0.95,1000,20262403,24421,24421
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.009724144520426409,0.007780189181442201,0.011965791054147386,0.004185601872705185,0.95,1000,20262404,24421,24421
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0006551738258056591,0.00028663854878997584,0.0012693992874984645,0.0009827607387084888,0.95,1000,20262405,24421,24421
adult_income,random_forest,modified_entropy,best_auc_score,AUC,0.6286392984362938,0.6235344821771001,0.6335443951529646,0.01000991297586451,0.95,1000,20262503,24421,24421
adult_income,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.014147345612134344,0.01368526739815921,0.014592647520853567,0.0009073801226943574,0.95,1000,20262504,24421,24421
adult_income,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0014147345612134344,0.0013706929024283956,0.0014617422126507785,9.104931022238289e-05,0.95,1000,20262505,24421,24421
adult_income,random_forest,neg_loss,canonical_neg_loss,AUC,0.6286392984362938,0.6239330725867175,0.633157136345029,0.00922406375831153,0.95,1000,20262603,24421,24421
adult_income,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.014147345612134344,0.013684136749032384,0.014621751147858809,0.0009376143988264248,0.95,1000,20262604,24421,24421
adult_income,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0014147345612134344,0.0013659032719050654,0.0014618357455379507,9.593247363288526e-05,0.95,1000,20262605,24421,24421
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.8696655061924982,0.8670447856329496,0.8723440955759668,0.005299309943017194,0.95,1000,20262703,24421,24421
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.038376551940908374,0.03764874344742522,0.03914239339531902,0.0014936499478937978,0.95,1000,20262704,24421,24421
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0038376551940908373,0.0037603826609177706,0.0039222732200888365,0.00016189055917106582,0.95,1000,20262705,24421,24421
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5129719491163598,0.5077697809133074,0.5182910135095044,0.010521232596196972,0.95,1000,20262803,24421,24421
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.00987428852217354,0.008305106261004875,0.011506490315711887,0.0032013840547070113,0.95,1000,20262804,24421,24421
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.001065868263473054,0.0008600854112694302,0.001326676100628931,0.0004665906893595007,0.95,1000,20262805,24421,24421
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5021225613176207,0.49670129678649955,0.5077969653516924,0.01109566856519284,0.95,1000,20262903,20594,20594
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.010245702631834514,0.00844784888802564,0.013013499077401184,0.004565650189375544,0.95,1000,20262904,20594,20594
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0013596193065941536,0.0005341361561619889,0.0022822181217830436,0.0017480819656210548,0.95,1000,20262905,20594,20594
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5121685482304054,0.5067827058174679,0.5175859432429439,0.010803237425476064,0.95,1000,20263003,20594,20594
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.012090900262212295,0.009903369913567061,0.014713023210643876,0.004809653297076815,0.95,1000,20263004,20594,20594
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0013596193065941536,0.0006593740895406436,0.0020396571817034087,0.0013802830921627652,0.95,1000,20263005,20594,20594
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5121685435146792,0.5064653975716972,0.5176669361051831,0.011201538533485933,0.95,1000,20263103,20594,20594
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.012090900262212295,0.01014858696707779,0.014810138875400601,0.004661551908322811,0.95,1000,20263104,20594,20594
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0013596193065941536,0.0006596114159463926,0.0021143561231426623,0.0014547447071962696,0.95,1000,20263105,20594,20594
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.659716010104443,0.6541583675682477,0.6648210196177604,0.010662652049512666,0.95,1000,20263203,20594,20594
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.025033063923585595,0.0235472683008034,0.026567888468099148,0.0030206201672957483,0.95,1000,20263204,20594,20594
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0025033063923585596,0.0023625512287715157,0.002654965769323438,0.0002924145405519222,0.95,1000,20263205,20594,20594
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.8806837586495496,0.8778812549014668,0.8838161369041894,0.005934882002722519,0.95,1000,20263303,20594,20594
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.043701090442591406,0.042600517360000714,0.044816985811916614,0.0022164684519158998,0.95,1000,20263304,20594,20594
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.00437010904425914,0.004260756722951844,0.004481484328959464,0.0002207276060076195,0.95,1000,20263305,20594,20594
bank_marketing,small_mlp,modified_entropy,best_auc_score,AUC,0.507055381837111,0.501516070183266,0.5126842897534938,0.011168219570227733,0.95,1000,20263403,20594,20594
bank_marketing,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.011556764106050306,0.009079100708944353,0.013644750898319898,0.004565650189375546,0.95,1000,20263404,20594,20594
bank_marketing,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0010682723123239778,0.0005814800427308936,0.001699524133242692,0.0011180440905117985,0.95,1000,20263405,20594,20594
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5070553747635217,0.501694942805268,0.5126150545818424,0.01092011177657437,0.95,1000,20263503,20594,20594
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.011556764106050306,0.008934641157618724,0.01345051956880645,0.0045158784111877254,0.95,1000,20263504,20594,20594
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0010682723123239778,0.0005329222103525309,0.001699524133242692,0.0011666019228901612,0.95,1000,20263505,20594,20594
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.503825830484123,0.500479995905603,0.5073758134719198,0.006895817566316853,0.95,1000,20263603,50883,50883
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.010592928876048974,0.00951201776624806,0.011772104632195428,0.002260086865947369,0.95,1000,20263604,50883,50883
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0010022993927244856,0.0006288937366114419,0.0014543167659139594,0.0008254230293025175,0.95,1000,20263605,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5068766792214405,0.5031471129044881,0.5105989152503061,0.007451802345817993,0.95,1000,20263703,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.009665900202425172,0.008588330090600003,0.010848908279779102,0.0022605781891790987,0.95,1000,20263704,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0012075054536878722,0.0008250184737535134,0.0017101812000078608,0.0008851627262543475,0.95,1000,20263705,50883,50883
diabetes_readmission,random_forest,modified_entropy,best_auc_score,AUC,0.7989681991205795,0.7962613008963665,0.8018236558901838,0.005562354993817298,0.95,1000,20263803,50883,50883
diabetes_readmission,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.11584447684724766,0.10819329559211932,0.12291195315776565,0.014718657565646331,0.95,1000,20263804,50883,50883
diabetes_readmission,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.012578124999999999,0.009912443910256412,0.016327916953330798,0.006415473043074386,0.95,1000,20263805,50883,50883
diabetes_readmission,random_forest,neg_loss,canonical_neg_loss,AUC,0.7989681991205795,0.796098013623172,0.8019308764167205,0.005832862793548443,0.95,1000,20263903,50883,50883
diabetes_readmission,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.11584447684724766,0.10834200362651748,0.1234580976828017,0.015116094056284224,0.95,1000,20263904,50883,50883
diabetes_readmission,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.012578124999999999,0.010024390529770276,0.016442459694900633,0.0064180691651303575,0.95,1000,20263905,50883,50883
diabetes_readmission,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.9982017569718766,0.9979462688913783,0.99847714364326,0.000530874751881738,0.95,1000,20264003,50883,50883
diabetes_readmission,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,1.0,1.0,1.0,0.0,0.95,1000,20264004,50883,50883
diabetes_readmission,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.27804918032786885,0.24345933014354068,0.32209558473756345,0.07863625459402276,0.95,1000,20264005,50883,50883
diabetes_readmission,small_mlp,modified_entropy,best_auc_score,AUC,0.5103011613019532,0.5066958243786988,0.5138993946489532,0.007203570270254422,0.95,1000,20264103,50883,50883
diabetes_readmission,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.011300434329736847,0.009983196745474912,0.01289232160053456,0.002909124855059647,0.95,1000,20264104,50883,50883
diabetes_readmission,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0016704989878741426,0.001100072715838296,0.002240433936678262,0.0011403612208399658,0.95,1000,20264105,50883,50883
diabetes_readmission,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5103011613019532,0.5069322230168327,0.5137656392110764,0.006833416194243713,0.95,1000,20264203,50883,50883
diabetes_readmission,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.011300434329736847,0.009963543816205806,0.01297093331761099,0.003007389501405184,0.95,1000,20264204,50883,50883
diabetes_readmission,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0016704989878741426,0.001080911109800916,0.0022207810074091543,0.0011398698976082383,0.95,1000,20264205,50883,50883
