dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
covertype,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0031477461512902,0.0030775382382837,0.003223204162782,0.0001456659244983,0.95,1000,20261805,290506,290506,0.0031477461512902,0.0030911586240375,0.0032241452411848,0.0001329866171473,50,1.0953427316446136
covertype,extra_trees,confidence,best_auc_score,AUC,0.9768765533242,0.9765013459274507,0.9772380776989116,0.0007367317714608,0.95,1000,20261903,290506,290506,0.9768765533242,0.9765747953570666,0.977138897303326,0.0005641019462593,50,1.3060259344011331
covertype,extra_trees,confidence,best_auc_score,TPR@1%FPR,0.2162307406029028,0.2127302320334829,0.2196148692755097,0.0068846372420267,0.95,1000,20261904,290506,290506,0.2162307406029028,0.2120400734055626,0.2192386445190765,0.0071985711135138,50,0.9563894186031232
covertype,extra_trees,confidence,best_auc_score,TPR@0.1%FPR,0.0216230740602902,0.021274658965324,0.0219666349218832,0.0006919759565592,0.95,1000,20261905,290506,290506,0.0216230740602902,0.02136304856413,0.0218516364628529,0.0004885878987229,50,1.416277313392181
covertype,extra_trees,neg_loss,canonical_neg_loss,AUC,0.9768765533242,0.9765133508430118,0.9772416920820912,0.0007283412390793,0.95,1000,20262003,290506,290506,0.9768765533242,0.9765747953570668,0.977138897303326,0.0005641019462592,50,1.2911517925248095
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@1%FPR,0.2162307406029028,0.2127154340260508,0.2198983041423916,0.0071828701163408,0.95,1000,20262004,290506,290506,0.2162307406029028,0.2120400734055626,0.2192386445190765,0.0071985711135138,50,0.9978188730894768
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0216230740602902,0.0212871303480442,0.0219747768086187,0.0006876464605745,0.95,1000,20262005,290506,290506,0.0216230740602902,0.02136304856413,0.0218516364628529,0.0004885878987229,50,1.407416070622934
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.502556175880257,0.5009978643382558,0.5039569452354858,0.00295908089723,0.95,1000,20262103,290506,290506,0.5025561758802571,0.5012213366828675,0.5045753410209887,0.0033540043381211,50,0.8822531514338069
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0106712425905144,0.0101790403640544,0.0111668981019324,0.000987857737878,0.95,1000,20262104,290506,290506,0.0106712425905144,0.0100974678664123,0.0111005702119749,0.0010031023455625,50,0.98480254008782
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0011359773371104,0.0009855156677821,0.0013073518664538,0.0003218361986716,0.95,1000,20262105,290506,290506,0.0011359773371104,0.0009683106641866,0.0013027895927601,0.0003344789285735,50,0.9622017149007882
