dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0013596193065941,0.0006593740895406,0.0020396571817034,0.0013802830921627,0.95,1000,20263005,20594,20594
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5121685435146792,0.5064653975716972,0.5176669361051831,0.0112015385334859,0.95,1000,20263103,20594,20594
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0120909002622122,0.0101485869670777,0.0148101388754006,0.0046615519083228,0.95,1000,20263104,20594,20594
bank_marketing,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0013596193065941,0.0006596114159463,0.0021143561231426,0.0014547447071962,0.95,1000,20263105,20594,20594
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.659716010104443,0.6541583675682477,0.6648210196177604,0.0106626520495126,0.95,1000,20263203,20594,20594
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0250330639235855,0.0235472683008034,0.0265678884680991,0.0030206201672957,0.95,1000,20263204,20594,20594
bank_marketing,random_forest,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0025033063923585,0.0023625512287715,0.0026549657693234,0.0002924145405519,0.95,1000,20263205,20594,20594
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.8806837586495496,0.8778812549014668,0.8838161369041894,0.0059348820027225,0.95,1000,20263303,20594,20594
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0437010904425914,0.0426005173600007,0.0448169858119166,0.0022164684519158,0.95,1000,20263304,20594,20594
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0043701090442591,0.0042607567229518,0.0044814843289594,0.0002207276060076,0.95,1000,20263305,20594,20594
bank_marketing,small_mlp,modified_entropy,best_auc_score,AUC,0.507055381837111,0.501516070183266,0.5126842897534938,0.0111682195702277,0.95,1000,20263403,20594,20594
bank_marketing,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.0115567641060503,0.0090791007089443,0.0136447508983198,0.0045656501893755,0.95,1000,20263404,20594,20594
bank_marketing,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0010682723123239,0.0005814800427308,0.0016995241332426,0.0011180440905117,0.95,1000,20263405,20594,20594
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5070553747635217,0.501694942805268,0.5126150545818424,0.0109201117765743,0.95,1000,20263503,20594,20594
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0115567641060503,0.0089346411576187,0.0134505195688064,0.0045158784111877,0.95,1000,20263504,20594,20594
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0010682723123239,0.0005329222103525,0.0016995241332426,0.0011666019228901,0.95,1000,20263505,20594,20594
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.503825830484123,0.500479995905603,0.5073758134719198,0.0068958175663168,0.95,1000,20263603,50883,50883
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0105929288760489,0.009512017766248,0.0117721046321954,0.0022600868659473,0.95,1000,20263604,50883,50883
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0010022993927244,0.0006288937366114,0.0014543167659139,0.0008254230293025,0.95,1000,20263605,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5068766792214405,0.5031471129044881,0.5105989152503061,0.0074518023458179,0.95,1000,20263703,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0096659002024251,0.0085883300906,0.0108489082797791,0.002260578189179,0.95,1000,20263704,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0012075054536878,0.0008250184737535,0.0017101812000078,0.0008851627262543,0.95,1000,20263705,50883,50883
diabetes_readmission,random_forest,modified_entropy,best_auc_score,AUC,0.7989681991205795,0.7962613008963665,0.8018236558901838,0.0055623549938172,0.95,1000,20263803,50883,50883
diabetes_readmission,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.1158444768472476,0.1081932955921193,0.1229119531577656,0.0147186575656463,0.95,1000,20263804,50883,50883
diabetes_readmission,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0125781249999999,0.0099124439102564,0.0163279169533307,0.0064154730430743,0.95,1000,20263805,50883,50883
diabetes_readmission,random_forest,neg_loss,canonical_neg_loss,AUC,0.7989681991205795,0.796098013623172,0.8019308764167205,0.0058328627935484,0.95,1000,20263903,50883,50883
diabetes_readmission,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.1158444768472476,0.1083420036265174,0.1234580976828017,0.0151160940562842,0.95,1000,20263904,50883,50883
